"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"782138721340526594","","","2016-10-01 08:42:57 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997Top Actors of All Time 1. Jack Nicholson 2. Marlon Brando3. Robert De Niro","","","",""
"782138428930396160","","","2016-10-01 08:41:47 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Indian Music Directors of all Time 1. A.R. Rehman   2. Ilaiyaraaja  3. RD. Burman","","","",""
"782138424891437056","","777854496961507329","2016-10-01 08:41:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 top music directors of bollywoood","","","",""
"782123160107819008","","777854496961507329","2016-10-01 07:41:07 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214 Top IIT coachings in india","","","",""
"782121006307479552","","","2016-10-01 07:32:33 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997Top Romantic Songs 1.  Sanam Re 2.  Yeh Kaisi Jagah 3.  Baatein Ye Kabhi Na","","","",""
"782119637903212544","","","2016-10-01 07:27:07 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Law Colleges 1. National Law School Of India, Bangalore 2. Rajiv Gandhi School of Intellectual 3. Modern School, Delhi","","","",""
"782119635047112704","","777854496961507329","2016-10-01 07:27:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 Top law colleges","","","",""
"782119368717012992","","","2016-10-01 07:26:03 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Private Schools 1. Daly College,Indore 2. Delhi Public School, Delhi 3. Modern School, Delhi","","","",""
"782119365378441216","","777854496961507329","2016-10-01 07:26:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 top fashion colleges","","","",""
"782113161130434560","","777854496961507329","2016-10-01 07:01:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 top jewellery brands","","","",""
"782110567427411968","","777854496961507329","2016-10-01 06:51:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 top private schools","","","",""
"782110439270412288","","","2016-10-01 06:50:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","top private schools","","","",""
"782108146802229248","","777854496961507329","2016-10-01 06:41:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top government schools","","","",""
"782107227125649408","","777854496961507329","2016-10-01 06:37:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top horror movies","","","",""
"782107092031242240","","","2016-10-01 06:37:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Top horror movies","","","",""
"782106881779261440","","777854496961507329","2016-10-01 06:36:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kartik543214 top commerce colleges in India","","","",""
"782103067017748480","","","2016-10-01 06:21:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Top commerce colleges in india","","","",""
"782099743354810368","","","2016-10-01 06:08:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Top engineering colleges in India","","","",""
